BusNum,Lat,Lon,AreaNum,SubName,BusName,AreaName,Vnom
110112,29.0912,-95.815,7,SWEENY 1,SWEENY 1 4,Coast,1
260217,32.9192,-96.9894,5,COPPELL 11,COPPELL 11 4,North Central,1
110092,28.7692,-96.2525,7,PALACIOS 1,PALACIOS 1 4,Coast,1
110024,29.1414,-96.3216,7,EL CAMPO 1,EL CAMPO 1 4,Coast,1
150458,34.0035,-98.5535,2,SHEPPARD AFB 5,SHEPPARD AFB 5 4,North,1
260041,32.7474,-97.0354,5,GRAND PRAIRIE 10,GRAND PRAIRIE 10 4,North Central,1
110080,29.0511,-96.1936,7,DANEVANG 2,DANEVANG 2 4,Coast,1
110969,30.1134,-95.7682,7,HOCKLEY 6,HOCKLEY 6 4,Coast,1
110032,29.2996,-96.1336,7,WHARTON 1,WHARTON 1 4,Coast,1
110116,29.1481,-96.6273,7,EDNA 2,EDNA 2 4,Coast,1
110052,29.0384,-96.493,7,GANADO 1,GANADO 1 4,Coast,1
150310,32.6726,-97.4684,5,CROWLEY 3,CROWLEY 3 4,North Central,1
110343,29.4152,-95.2575,7,ALVIN 1,ALVIN 1 4,Coast,1
240183,31.4932,-100.45,3,GOODFELLOW AFB 9,GOODFELLOW AFB 9 4,West,1
110064,29.3383,-96.315,7,NADA 2,NADA 2 4,Coast,1
120208,29.6426,-98.6206,6,HELOTES 5,HELOTES 5 4,South Central,1
110191,29.8568,-95.6639,7,KATY 9,KATY 9 4,Coast,1
110048,29.2453,-96.4161,7,LOUISE 1,LOUISE 1 4,Coast,1
230280,31.092,-96.695,8,BREMOND 4,BREMOND 4 4,East,1
140326,30.3899,-97.9073,6,CEDAR PARK 25,CEDAR PARK 25 4,South Central,1
110088,28.9922,-95.8483,7,BAY CITY 1,BAY CITY 1 4,Coast,1
110435,29.5703,-95.1227,7,WEBSTER 1,WEBSTER 1 4,Coast,1
110028,29.2599,-96.2944,7,EL CAMPO 2,EL CAMPO 2 4,Coast,1
110008,29.2786,-95.9966,7,LANE CITY 1,LANE CITY 1 4,Coast,1
111331,29.002,-95.394,7,CLUTE 6,CLUTE 6 4,Coast,1
180116,26.5576,-99.1642,4,FALCON HEIGHTS 1,FALCON HEIGHTS 1 4,South,1
170361,32.8525,-96.6624,5,GARLAND 39,GARLAND 39 4,North Central,1
120355,29.6957,-98.4908,6,BULVERDE 6,BULVERDE 6 5,South Central,1
140367,30.3051,-97.7077,6,AUSTIN 57,AUSTIN 57 4,South Central,1
110076,29.145,-96.1938,7,DANEVANG 1,DANEVANG 1 4,Coast,1
230270,31.1803,-96.4866,8,FRANKLIN 6,FRANKLIN 6 4,East,1
110964,30.0996,-95.6438,7,TOMBALL 23,TOMBALL 23 4,Coast,1
240032,29.3703,-100.906,4,LAUGHLIN A F B 6,LAUGHLIN A F B 6 3,South,1
120478,29.429,-98.3433,6,CONVERSE 9,CONVERSE 9 4,South Central,1
140322,30.5553,-98.2576,6,MARBLE FALLS 7,MARBLE FALLS 7 7,South Central,1
111146,29.4157,-95.4457,7,ROSHARON 5,ROSHARON 5 4,Coast,1
110084,28.9073,-96.1453,7,ELMATON 1,ELMATON 1 4,Coast,1
170294,33.0086,-96.6817,5,RICHARDSON 15,RICHARDSON 15 4,North Central,1
130296,32.783,-96.7791,5,DALLAS 41,DALLAS 41 4,North Central,1
240254,31.952,-100.7914,3,SILVER 2,SILVER 2 4,West,1
110044,29.449,-96.296,7,EGYPT 1,EGYPT 1 4,Coast,1
240169,32.4362,-99.7881,3,DYESS AFB 9,DYESS AFB 9 4,West,1
111227,29.8247,-94.9197,7,MONT BELVIEU 4,MONT BELVIEU 4 4,Coast,1
150296,32.8722,-97.3699,5,KELLER 13,KELLER 13 4,North Central,1
210150,31.5502,-97.1587,5,WACO 9,WACO 9 4,North Central,1
140315,30.556,-98.3384,6,HORSESHOE BAY 4,HORSESHOE BAY 4 4,South Central,1
150196,32.4713,-97.3858,5,JOSHUA 6,JOSHUA 6 4,North Central,1
150151,32.9241,-97.4273,5,NEWARK 2,NEWARK 2 4,North Central,1
140319,30.5553,-98.2576,6,MARBLE FALLS 7,MARBLE FALLS 7 4,South Central,1
110060,29.0306,-96.3557,7,LOUISE 3,LOUISE 3 4,Coast,1
270190,29.594,-98.0407,6,MC QUEENEY 5,MC QUEENEY 5 4,South Central,1
140202,30.1969,-97.8189,6,MANCHACA 3,MANCHACA 3 4,South Central,1
110108,28.6712,-95.9678,7,MATAGORDA 2,MATAGORDA 2 4,Coast,1
210189,31.0637,-97.6545,5,HARKER HEIGHTS 4,HARKER HEIGHTS 4 4,North Central,1
140158,30.3,-97.6267,6,MANOR 1,MANOR 1 4,South Central,1
240311,31.0486,-100.6231,3,ELDORADO 4,ELDORADO 4 4,West,1
111239,29.2559,-95.2103,7,LIVERPOOL 5,LIVERPOOL 5 5,Coast,1
190181,34.0604,-101.1876,2,FLOYDADA 2,FLOYDADA 2 4,North,1
150468,33.1958,-97.8025,5,BRIDGEPORT 4,BRIDGEPORT 4 5,North Central,1
130193,32.8168,-96.612,5,MESQUITE 29,MESQUITE 29 4,North Central,1
150123,32.4161,-98.8322,5,EASTLAND 1,EASTLAND 1 4,North Central,1
110398,29.8251,-94.8372,7,MONT BELVIEU 2,MONT BELVIEU 2 4,Coast,1
110956,30.191,-95.6463,7,MAGNOLIA 7,MAGNOLIA 7 4,Coast,1
140230,30.5084,-97.7356,6,ROUND ROCK 8,ROUND ROCK 8 4,South Central,1
220140,30.8848,-101.9208,1,IRAAN 2,IRAAN 2 4,Far West,1
260204,32.7751,-97.1421,5,HURST 10,HURST 10 4,North Central,1
130167,32.8714,-96.8986,5,CARROLLTON 8,CARROLLTON 8 4,North Central,1
111258,29.7211,-95.3954,7,HOUSTON 49,HOUSTON 49 4,Coast,1
170537,33.8182,-96.5692,2,CARTWRIGHT 2,CARTWRIGHT 2 4,North,1
110978,30.2087,-95.4341,7,CONROE 13,CONROE 13 4,Coast,1
110056,29.1308,-96.455,7,LOUISE 2,LOUISE 2 4,Coast,1
240265,32.1982,-100.2686,3,BLACKWELL 2,BLACKWELL 2 4,West,1
110748,30.0572,-95.1638,7,KINGWOOD 1,KINGWOOD 1 4,Coast,1
150334,32.5861,-97.3413,5,BURLESON 11,BURLESON 11 4,North Central,1
111103,29.6489,-95.1775,7,PASADENA 2,PASADENA 2 4,Coast,1
110985,30.1293,-95.4063,7,SPRING 20,SPRING 20 4,Coast,1
170430,33.1555,-97.0928,5,DENTON 3,DENTON 3 4,North Central,1
210345,31.3834,-98.4667,5,GOLDTHWAITE 6,GOLDTHWAITE 6 4,North Central,1
240015,30.5627,-99.914,3,JUNCTION 2,JUNCTION 2 4,West,1
110990,30.1322,-95.4673,7,SPRING 21,SPRING 21 4,Coast,1
110004,29.198,-96.6616,7,EDNA 1,EDNA 1 4,Coast,1
270200,29.5376,-97.9321,6,SEGUIN 8,SEGUIN 8 4,South Central,1
170099,32.9734,-96.8936,5,CARROLLTON 11,CARROLLTON 11 4,North Central,1
110413,29.7542,-95.2127,7,GALENA PARK 3,GALENA PARK 3 4,Coast,1
170260,33.0805,-96.7198,5,PLANO 15,PLANO 15 4,North Central,1
110100,28.8694,-96.1149,7,ELMATON 2,ELMATON 2 4,Coast,1
110068,29.3429,-95.9799,7,KENDLETON 1,KENDLETON 1 4,Coast,1
110902,29.2934,-94.8147,7,GALVESTON 5,GALVESTON 5 4,Coast,1
111071,30.023,-95.3839,7,SPRING 32,SPRING 32 5,Coast,1
140356,30.1479,-97.2714,6,BASTROP 6,BASTROP 6 4,South Central,1
120314,29.5098,-98.6151,6,SAN ANTONIO 28,SAN ANTONIO 28 4,South Central,1
110020,29.5208,-96.0832,7,EAST BERNARD 1,EAST BERNARD 1 4,Coast,1
220131,32.2732,-101.4224,1,BIG SPRING 8,BIG SPRING 8 4,Far West,1
150292,32.8208,-97.43,5,NAVAL AIR STATION_ JRB 5,NAVAL AIR STATION_ JRB 5 4,North Central,1
110036,28.8052,-95.6462,7,CEDAR LANE 1,CEDAR LANE 1 4,Coast,1
111159,29.7062,-95.5817,7,STAFFORD 20,STAFFORD 20 4,Coast,1
140223,30.2366,-97.8981,6,MANCHACA 10,MANCHACA 10 4,South Central,1
110700,29.8413,-95.3735,7,HOUSTON 11,HOUSTON 11 4,Coast,1
140387,30.22,-97.7088,6,AUSTIN 60,AUSTIN 60 4,South Central,1
110040,29.437,-96.4084,7,NADA 1,NADA 1 4,Coast,1
210200,31.7756,-97.1117,5,WEST 1,WEST 1 4,North Central,1
210093,31.8634,-98.0738,5,HICO 1,HICO 1 4,North Central,1
110827,29.9194,-95.4008,7,SPRING 6,SPRING 6 4,Coast,1
111064,30.0438,-95.3535,7,SPRING 30,SPRING 30 4,Coast,1
120359,29.6515,-98.4364,6,BULVERDE 7,BULVERDE 7 4,South Central,1
110564,29.1307,-95.6308,7,WEST COLUMBIA 1,WEST COLUMBIA 1 4,Coast,1
180046,28.6904,-99.8296,4,CRYSTAL CITY 1,CRYSTAL CITY 1 3,South,1
111120,29.736,-95.238,7,GALENA PARK 16,GALENA PARK 16 4,Coast,1
130374,32.6486,-96.6444,5,HUTCHINS 3,HUTCHINS 3 4,North Central,1
110940,29.5412,-95.7103,7,SUGAR LAND 65,SUGAR LAND 65 4,Coast,1
210309,31.4258,-97.7219,5,GATESVILLE 7,GATESVILLE 7 4,North Central,1
140073,30.2793,-97.7991,6,AUSTIN 12,AUSTIN 12 4,South Central,1
160295,28.6481,-96.5462,7,POINT COMFORT 7,POINT COMFORT 7 4,Coast,1
220122,31.5839,-102.9633,1,WICKETT 1,WICKETT 1 4,Far West,1
110012,28.7913,-95.95,7,MATAGORDA 1,MATAGORDA 1 4,Coast,1
